fecha,indicativo,nombre_clean,provincia_clean,tmax,calor
2024-01-01,5612B,La Roda de Andalucía,Sevilla,17.1,hace calor
2024-01-01,3094B,Tarancón,Cuenca,11,el calor es normal
2024-01-01,9394X,Calatayud,Zaragoza,12.3,el calor es normal
2024-01-01,B434X,Portocolom,Baleares,15.8,no hace calor
2024-01-01,8293X,Xàtiva,Valencia,17,no hace calor
2024-01-01,2755X,Benavente,Zamora,10.2,hace calor
2024-01-01,2400E,Autilla del Pino,Palencia,7.5,el calor es normal
2024-01-01,8500A,Castelló - Almassora,Castellón,16.6,hace calor
2024-01-01,C249I,Fuerteventura Aeropuerto,Las Palmas,21.3,hace calor
2024-01-01,2462,Puerto de Navacerrada,Madrid,4.3,el calor es normal
2024-01-01,9563X,Castellfort,Castellón,7.2,no hace calor
2024-01-01,9573X,Alcañiz,Teruel,14,hace calor
2024-01-01,4358X,Don Benito,Badajoz,12.1,no hace calor
2024-01-01,1387E,A Coruña Aeropuerto,A Coruña,12.9,no hace calor
2024-01-01,1212E,Asturias Aeropuerto,Asturias,15.3,hace calor
2024-01-01,0016A,Reus Aeropuerto,Tarragona,15.3,hace calor
2024-01-01,C447A,Tenerife Norte Aeropuerto,Sta. Cruz de Tenerife,20.5,el calor es extremo
2024-01-01,9434,"Zaragoza, Aeropuerto",Zaragoza,14.2,hace mucho calor
2024-01-01,C449C,Sta. Cruz de Tenerife,Sta. Cruz de Tenerife,23.5,hace mucho calor
2024-01-01,6293X,Roquetas de Mar,Almería,18.5,hace mucho calor
2024-01-01,8050X,Jávea/Xàbia,Alicante,18,hace calor
2024-01-01,5972X,San Fernando,Cádiz,18.2,hace mucho calor
2024-01-01,2235U,Cervera de Pisuerga,Palencia,9,hace calor
2024-01-01,3260B,Toledo,Toledo,13,hace calor
2024-01-01,0367,Girona Aeropuerto,Girona,14.7,hace mucho calor
2024-01-01,6001,Tarifa,Cádiz,18.1,hace mucho calor
2024-01-01,9981A,Estación de Tortosa (Roquetes),Tarragona,18.2,hace mucho calor
2024-01-01,1331A,Castropol,Asturias,14.7,el calor es normal
2024-01-01,6084X,Fuengirola,Málaga,NA,NA
2024-01-01,1183X,Llanes,Asturias,16.5,hace mucho calor
2024-01-01,7178I,Murcia,Murcia,19.8,hace calor
2024-01-01,9771C,Lleida,Lleida,13.3,hace mucho calor
2024-01-01,4067,Madridejos,Toledo,12.4,hace mucho calor
2024-01-01,3365A,Talavera de la Reina,Toledo,12.1,no hace calor
2024-01-01,9784P,Bielsa,Huesca,8.9,el calor es normal
2024-01-01,0149X,Manresa,Barcelona,13.6,el calor es extremo
2024-01-01,5641X,Écija,Sevilla,18,hace mucho calor
2024-01-01,6156X,"Málaga, Centro Meteorológico",Málaga,21.5,hace mucho calor
2024-01-01,C459Z,Puerto de la Cruz,Sta. Cruz de Tenerife,23.9,el calor es extremo
2024-01-01,5995B,Vejer de La Frontera,Cádiz,19.2,hace mucho calor
2024-01-01,7096B,Hellín,Albacete,13.8,no hace calor
2024-01-01,0252D,Arenys de Mar,Barcelona,15.7,el calor es extremo
2024-01-01,1083L,Castro Urdiales,Cantabria,16.1,hace calor
2024-01-01,6277B,Adra,Almería,NA,NA
2024-01-01,1631E,A Pobra de Trives,Ourense,9.5,el calor es normal
2024-01-01,1700X,O Carballiño,Ourense,10.3,no hace calor
2024-01-01,9569A,Calanda,Teruel,12.6,hace calor
2024-01-01,C029O,Lanzarote Aeropuerto,Las Palmas,22.4,hace mucho calor
2024-01-01,2298,Palacios de la Sierra,Burgos,7.3,no hace calor
2024-01-01,5514,Granada Base Aérea,Granada,15.4,hace mucho calor
2024-01-01,9390,Daroca,Zaragoza,10.3,no hace calor
2024-01-01,4220X,Puebla de Don Rodrigo,Ciudad Real,12.3,hace calor
2024-01-01,7119B,Caravaca de la Cruz,Murcia,14.9,el calor es normal
2024-01-01,5192,Villarrodrigo,Jaén,11.7,no hace calor
2024-01-01,1221D,Pajares-Valgrande,Asturias,4.9,no hace calor
2024-01-01,1111,Santander,Cantabria,15.6,hace calor
2024-01-01,6325O,Almería Aeropuerto,Almería,20,hace mucho calor
2024-01-01,1002Y,"Baztan, Irurita",Navarra,15,hace mucho calor
2024-01-01,3111D,Somosierra,Madrid,6.2,hace calor
2024-01-01,6058I,Estepona,Málaga,21.3,hace mucho calor
2024-01-01,8325X,Polinyà de Xúquer,Valencia,16.8,hace calor
2024-01-01,4148,Viso del Marqués,Ciudad Real,12.9,hace calor
2024-01-01,1159,San Vicente de la Barquera,Cantabria,16.7,hace calor
2024-01-01,6000A,Melilla,Melilla,20.4,hace mucho calor
2024-01-01,4452,Badajoz Aeropuerto,Badajoz,13.2,no hace calor
2024-01-01,C629X,"Mogán, Puerto",Las Palmas,23.5,no hace calor
2024-01-01,4244X,Herrera del Duque,Badajoz,11.3,no hace calor
2024-01-01,2630X,Puerto de San Isidro,León,4.4,no hace calor
2024-01-01,4410X,Mérida,Badajoz,15.2,el calor es normal
2024-01-01,9263D,"Pamplona, Aeropuerto",Navarra,11.5,hace calor
2024-01-01,1690A,Ourense,Ourense,13.3,hace calor
2024-01-01,9898,"Huesca, Aeropuerto",Huesca,11.8,hace mucho calor
2024-01-01,1111X,Santander,Cantabria,15.9,hace calor
2024-01-01,9208E,Aragüés del Puerto,Huesca,9.8,no hace calor
2024-01-01,3576X,Valencia de Alcántara,Cáceres,11.8,no hace calor
2024-01-01,2946X,Saelices El Chico,Salamanca,12.3,hace calor
2024-01-01,7012C,Cartagena,Murcia,19.2,hace mucho calor
2024-01-01,5270B,Jaén,Jaén,13,hace calor
2024-01-01,C139E,La Palma Aeropuerto,Sta. Cruz de Tenerife,22.3,hace calor
2024-01-01,9170,"Logroño, Aeropuerto",La Rioja,11.3,el calor es normal
2024-01-01,1082,Bilbao Aeropuerto,Bizkaia,15.9,hace mucho calor
2024-01-01,3168D,Guadalajara,Guadalajara,9.9,no hace calor
2024-01-01,4103X,Tomelloso,Ciudad Real,12.1,hace mucho calor
2024-01-01,7275C,Yecla,Murcia,13.2,no hace calor
2024-01-01,9698U,Talarn,Lleida,9.8,hace calor
2024-01-01,1351,Estaca de Bares,A Coruña,13.8,hace calor
2024-01-01,8414A,Valencia Aeropuerto,Valencia,18.2,hace mucho calor
2024-01-01,7031,San Javier Aeropuerto,Murcia,16,no hace calor
2024-01-01,9434P,"Zaragoza, Valdespartera",Zaragoza,14.2,hace mucho calor
2024-01-01,B691Y,Sa Pobla,Baleares,15.6,no hace calor
2024-01-01,4549Y,Ayamonte,Huelva,19,el calor es extremo
2024-01-01,4267X,Hinojosa del Duque,Córdoba,13.9,hace calor
2024-01-01,2737E,Lagunas de Somoza,León,NA,NA
2024-01-01,C429I,Tenerife Sur Aeropuerto,Sta. Cruz de Tenerife,23.2,hace mucho calor
2024-01-01,1059X,Punta Galea,Bizkaia,15.2,hace calor
2024-01-01,5181D,Arroyo del Ojanco,Jaén,14.3,el calor es normal
2024-01-01,5860E,"Moguer, El Arenosillo",Huelva,16.3,no hace calor
2024-01-01,B013X,"Escorca, Lluc",Baleares,11.8,no hace calor
2024-01-01,1484C,Pontevedra,Pontevedra,12.8,el calor es normal
2024-01-01,8175,Albacete Base Aérea,Albacete,11.9,hace calor
2024-01-01,2661,"León, Virgen del Camino",León,8,el calor es normal
2024-01-01,3195,"Madrid, Retiro",Madrid,9.4,no hace calor
2024-01-01,9263X,"Aranguren, Ilundain",Navarra,11.7,hace calor
2024-01-01,C229J,Pájara,Las Palmas,22.3,hace mucho calor
2024-01-01,8416Y,"València, Viveros",Valencia,19,hace mucho calor
2024-01-01,5390Y,Villanueva de Córdoba,Córdoba,11.6,el calor es normal
2024-01-01,2916A,Vitigudino,Salamanca,10.7,hace calor
2024-01-01,2775X,Villardeciervos,Zamora,8,no hace calor
2024-01-01,2374X,Carrión de los Condes,Palencia,8.6,el calor es normal
2024-01-01,3013,Molina de Aragón,Guadalajara,8.9,el calor es normal
2024-01-01,1387,A Coruña,A Coruña,13.9,no hace calor
2024-01-01,0372C,Porqueres,Girona,15.1,hace calor
2024-01-01,1735X,Xinzo de Limia,Ourense,10.2,no hace calor
2024-01-01,3434X,Navalmoral de la Mata,Cáceres,10.2,no hace calor
2024-01-01,1473A,Padrón,A Coruña,11.9,no hace calor
